Country,Indicator,Year,Estimated,Data
Kuwait,Prevalence of underweight in children under five years  (%),2008-12,,1.7
Kyrgyz Republic,Prevalence of underweight in children under five years  (%),2008-12,1,3.5
Lao PDR,Prevalence of underweight in children under five years  (%),2008-12,1,24.2
Latvia,Prevalence of underweight in children under five years  (%),2008-12,1,2.6
Lebanon,Prevalence of underweight in children under five years  (%),2008-12,1,2.8
Lesotho,Prevalence of underweight in children under five years  (%),2008-12,,13.5
Liberia,Prevalence of underweight in children under five years  (%),2008-12,,14.4
Libya,Prevalence of underweight in children under five years  (%),2008-12,1,5.7
Lithuania,Prevalence of underweight in children under five years  (%),2008-12,1,2.4
"Macedonia, FYR",Prevalence of underweight in children under five years  (%),2008-12,,1.3
Madagascar,Prevalence of underweight in children under five years  (%),2008-12,1,36
Malawi,Prevalence of underweight in children under five years  (%),2008-12,,13.8
Malaysia,Prevalence of underweight in children under five years  (%),2008-12,1,12.7
Mali,Prevalence of underweight in children under five years  (%),2008-12,,18.9
Mauritania,Prevalence of underweight in children under five years  (%),2008-12,,19
Mauritius,Prevalence of underweight in children under five years  (%),2008-12,1,8.3
Mexico,Prevalence of underweight in children under five years  (%),2008-12,,2.8
Moldova,Prevalence of underweight in children under five years  (%),2008-12,1,2.6
Mongolia,Prevalence of underweight in children under five years  (%),2008-12,,5
Montenegro,Prevalence of underweight in children under five years  (%),2008-12,1,1.5
Morocco,Prevalence of underweight in children under five years  (%),2008-12,,3.1
Mozambique,Prevalence of underweight in children under five years  (%),2008-12,,14.9
Myanmar,Prevalence of underweight in children under five years  (%),2008-12,,22.6
Namibia,Prevalence of underweight in children under five years  (%),2008-12,1,17.2
Nepal,Prevalence of underweight in children under five years  (%),2008-12,,29.1
Nicaragua,Prevalence of underweight in children under five years  (%),2008-12,1,5.8
Niger,Prevalence of underweight in children under five years  (%),2008-12,,35.7
Nigeria,Prevalence of underweight in children under five years  (%),2008-12,,24.2
North Korea,Prevalence of underweight in children under five years  (%),2008-12,,18.8
Oman,Prevalence of underweight in children under five years  (%),2008-12,,8.6
Pakistan,Prevalence of underweight in children under five years  (%),2008-12,,30.9
Panama,Prevalence of underweight in children under five years  (%),2008-12,,3.9
Papua New Guinea,Prevalence of underweight in children under five years  (%),2008-12,1,14.5
Paraguay,Prevalence of underweight in children under five years  (%),2008-12,1,2.6
Peru,Prevalence of underweight in children under five years  (%),2008-12,,3.4
Philippines,Prevalence of underweight in children under five years  (%),2008-12,,20.2
Qatar,Prevalence of underweight in children under five years  (%),2008-12,1,0.7
Romania,Prevalence of underweight in children under five years  (%),2008-12,1,2
Russian Federation,Prevalence of underweight in children under five years  (%),2008-12,1,1.2
Rwanda,Prevalence of underweight in children under five years  (%),2008-12,,11.7
Saudi Arabia,Prevalence of underweight in children under five years  (%),2008-12,1,9.3
Senegal,Prevalence of underweight in children under five years  (%),2008-12,,14.4
Serbia,Prevalence of underweight in children under five years  (%),2008-12,,1.6
Sierra Leone,Prevalence of underweight in children under five years  (%),2008-12,,21.1
Slovak Republic,Prevalence of underweight in children under five years  (%),2008-12,1,2.1
Somalia,Prevalence of underweight in children under five years  (%),2008-12,,
South Africa,Prevalence of underweight in children under five years  (%),2008-12,,8.7
Sri Lanka,Prevalence of underweight in children under five years  (%),2008-12,,21.6
Sudan (former),Prevalence of underweight in children under five years  (%),2008-12,,32.2
Suriname,Prevalence of underweight in children under five years  (%),2008-12,,5.8
Swaziland,Prevalence of underweight in children under five years  (%),2008-12,,5.8
Syrian Arab Republic,Prevalence of underweight in children under five years  (%),2008-12,,10.1
Tajikistan,Prevalence of underweight in children under five years  (%),2008-12,1,11
Tanzania,Prevalence of underweight in children under five years  (%),2008-12,,16.2
Thailand,Prevalence of underweight in children under five years  (%),2008-12,1,9
Timor-Leste,Prevalence of underweight in children under five years  (%),2008-12,,45.3
Togo,Prevalence of underweight in children under five years  (%),2008-12,,16.6
Trinidad & Tobago,Prevalence of underweight in children under five years  (%),2008-12,1,2.6
Tunisia,Prevalence of underweight in children under five years  (%),2008-12,,2.3
Turkey,Prevalence of underweight in children under five years  (%),2008-12,,1.7
Turkmenistan,Prevalence of underweight in children under five years  (%),2008-12,1,5.5
Uganda,Prevalence of underweight in children under five years  (%),2008-12,,14.1
Ukraine,Prevalence of underweight in children under five years  (%),2008-12,1,1.2
Uruguay,Prevalence of underweight in children under five years  (%),2008-12,,4.5
Uzbekistan,Prevalence of underweight in children under five years  (%),2008-12,1,5
"Venezuela, RB",Prevalence of underweight in children under five years  (%),2008-12,,2.9
Vietnam,Prevalence of underweight in children under five years  (%),2008-12,,12
"Yemen, Rep.",Prevalence of underweight in children under five years  (%),2008-12,1,39.3
Zambia,Prevalence of underweight in children under five years  (%),2008-12,1,16.7
Zimbabwe,Prevalence of underweight in children under five years  (%),2008-12,,10.1
Afghanistan,Under-five Mortality rate  (%),1990,,4.1
Albania,Under-five Mortality rate  (%),1990,,6.6
Algeria,Under-five Mortality rate  (%),1990,,24.3
Angola,Under-five Mortality rate  (%),1990,,2.8
Argentina,Under-five Mortality rate  (%),1990,,
Armenia,Under-five Mortality rate  (%),1990,,
Azerbaijan,Under-five Mortality rate  (%),1990,,2.1
Bahrain,Under-five Mortality rate  (%),1990,,13.9
Bangladesh,Under-five Mortality rate  (%),1990,,
Belarus,Under-five Mortality rate  (%),1990,,17.7
Benin,Under-five Mortality rate  (%),1990,,13.8
Bhutan,Under-five Mortality rate  (%),1990,,12
Bolivia,Under-five Mortality rate  (%),1990,,
Bosnia & Herzegovina,Under-five Mortality rate  (%),1990,,5.3
Botswana,Under-five Mortality rate  (%),1990,,5.8
Brazil,Under-five Mortality rate  (%),1990,,2.2
Bulgaria,Under-five Mortality rate  (%),1990,,20.8
Burkina Faso,Under-five Mortality rate  (%),1990,,18.3
Burundi,Under-five Mortality rate  (%),1990,,11.7
Cambodia,Under-five Mortality rate  (%),1990,,14.5
Cameroon,Under-five Mortality rate  (%),1990,,16.9
Central African Rep.,Under-five Mortality rate  (%),1990,,20.8
Chad,Under-five Mortality rate  (%),1990,,1.9
Chile,Under-five Mortality rate  (%),1990,,4.9
China,Under-five Mortality rate  (%),1990,,3.4
Colombia,Under-five Mortality rate  (%),1990,,12.2
Comoros,Under-five Mortality rate  (%),1990,,18.1
"Congo, Dem. Rep.",Under-five Mortality rate  (%),1990,,11.9
"Congo, Rep.",Under-five Mortality rate  (%),1990,,1.7
Costa Rica,Under-five Mortality rate  (%),1990,,
Croatia,Under-five Mortality rate  (%),1990,,1.3
Cuba,Under-five Mortality rate  (%),1990,,15.1
Côte d'Ivoire,Under-five Mortality rate  (%),1990,,12.2
Djibouti,Under-five Mortality rate  (%),1990,,5.8
Dominican Republic,Under-five Mortality rate  (%),1990,,5.2
Ecuador,Under-five Mortality rate  (%),1990,,8.6
"Egypt, Arab Rep.",Under-five Mortality rate  (%),1990,,6
El Salvador,Under-five Mortality rate  (%),1990,,
Eritrea,Under-five Mortality rate  (%),1990,,
Estonia,Under-five Mortality rate  (%),1990,,19.8
Ethiopia,Under-five Mortality rate  (%),1990,,3
Fiji,Under-five Mortality rate  (%),1990,,9.4
Gabon,Under-five Mortality rate  (%),1990,,16.5
"Gambia, The",Under-five Mortality rate  (%),1990,,
Georgia,Under-five Mortality rate  (%),1990,,12.1
Ghana,Under-five Mortality rate  (%),1990,,7.8
Guatemala,Under-five Mortality rate  (%),1990,,22.8
Guinea,Under-five Mortality rate  (%),1990,,21
Guinea-Bissau,Under-five Mortality rate  (%),1990,,6.3
Guyana,Under-five Mortality rate  (%),1990,,14.3
Haiti,Under-five Mortality rate  (%),1990,,5.5
Honduras,Under-five Mortality rate  (%),1990,,11.4
India,Under-five Mortality rate  (%),1990,,8.2
Indonesia,Under-five Mortality rate  (%),1990,,6.1
"Iran, Islamic Rep.",Under-five Mortality rate  (%),1990,,4.6
Iraq,Under-five Mortality rate  (%),1990,,3.5
Jamaica,Under-five Mortality rate  (%),1990,,3.7
Jordan,Under-five Mortality rate  (%),1990,,
Kazakhstan,Under-five Mortality rate  (%),1990,,9.8
Kenya,Under-five Mortality rate  (%),1990,,1.7
Kuwait,Under-five Mortality rate  (%),1990,,
Kyrgyz Republic,Under-five Mortality rate  (%),1990,,14.8
Lao PDR,Under-five Mortality rate  (%),1990,,
Latvia,Under-five Mortality rate  (%),1990,,3.3
Lebanon,Under-five Mortality rate  (%),1990,,8.8
Lesotho,Under-five Mortality rate  (%),1990,,24.1
Liberia,Under-five Mortality rate  (%),1990,,4.4
Libya,Under-five Mortality rate  (%),1990,,
Lithuania,Under-five Mortality rate  (%),1990,,
"Macedonia, FYR",Under-five Mortality rate  (%),1990,,16.1
Madagascar,Under-five Mortality rate  (%),1990,,22.7
Malawi,Under-five Mortality rate  (%),1990,,1.7
Malaysia,Under-five Mortality rate  (%),1990,,25.7
Mali,Under-five Mortality rate  (%),1990,,12.5
Mauritania,Under-five Mortality rate  (%),1990,,2.4
Mauritius,Under-five Mortality rate  (%),1990,,4.9
Mexico,Under-five Mortality rate  (%),1990,,
Moldova,Under-five Mortality rate  (%),1990,,10.7
Mongolia,Under-five Mortality rate  (%),1990,,
Montenegro,Under-five Mortality rate  (%),1990,,8.1
Morocco,Under-five Mortality rate  (%),1990,,22.6
Mozambique,Under-five Mortality rate  (%),1990,,10.7
Myanmar,Under-five Mortality rate  (%),1990,,7.3
Namibia,Under-five Mortality rate  (%),1990,,13.5
Nepal,Under-five Mortality rate  (%),1990,,6.6
Nicaragua,Under-five Mortality rate  (%),1990,,31.4
Niger,Under-five Mortality rate  (%),1990,,21.4
Nigeria,Under-five Mortality rate  (%),1990,,4.5
North Korea,Under-five Mortality rate  (%),1990,,4.8
Oman,Under-five Mortality rate  (%),1990,,12.2
Pakistan,Under-five Mortality rate  (%),1990,,3.3
Panama,Under-five Mortality rate  (%),1990,,8.8
Papua New Guinea,Under-five Mortality rate  (%),1990,,5.3
Paraguay,Under-five Mortality rate  (%),1990,,7.5
Peru,Under-five Mortality rate  (%),1990,,5.7
Philippines,Under-five Mortality rate  (%),1990,,2
Qatar,Under-five Mortality rate  (%),1990,,3.7
Romania,Under-five Mortality rate  (%),1990,,
Russian Federation,Under-five Mortality rate  (%),1990,,15.6
Rwanda,Under-five Mortality rate  (%),1990,,4.3
Saudi Arabia,Under-five Mortality rate  (%),1990,,13.6
Senegal,Under-five Mortality rate  (%),1990,,
Serbia,Under-five Mortality rate  (%),1990,,26.7
Sierra Leone,Under-five Mortality rate  (%),1990,,
Slovak Republic,Under-five Mortality rate  (%),1990,,18
Somalia,Under-five Mortality rate  (%),1990,,6.2
South Africa,Under-five Mortality rate  (%),1990,,2.9
Sri Lanka,Under-five Mortality rate  (%),1990,,14.5
Sudan (former),Under-five Mortality rate  (%),1990,,5.2
Suriname,Under-five Mortality rate  (%),1990,,8.3
Swaziland,Under-five Mortality rate  (%),1990,,3.6
Syrian Arab Republic,Under-five Mortality rate  (%),1990,,
Tajikistan,Under-five Mortality rate  (%),1990,,15.8
Tanzania,Under-five Mortality rate  (%),1990,,3.5
Thailand,Under-five Mortality rate  (%),1990,,
Timor-Leste,Under-five Mortality rate  (%),1990,,14.7
Togo,Under-five Mortality rate  (%),1990,,3.7
Trinidad & Tobago,Under-five Mortality rate  (%),1990,,5.1
Tunisia,Under-five Mortality rate  (%),1990,,7.2
Turkey,Under-five Mortality rate  (%),1990,,
Turkmenistan,Under-five Mortality rate  (%),1990,,17.8
Uganda,Under-five Mortality rate  (%),1990,,
Ukraine,Under-five Mortality rate  (%),1990,,2.3
Uruguay,Under-five Mortality rate  (%),1990,,
Uzbekistan,Under-five Mortality rate  (%),1990,,3.1
"Venezuela, RB",Under-five Mortality rate  (%),1990,,5
Vietnam,Under-five Mortality rate  (%),1990,,12.6
"Yemen, Rep.",Under-five Mortality rate  (%),1990,,19.3
Zambia,Under-five Mortality rate  (%),1990,,7.9
Zimbabwe,Under-five Mortality rate  (%),1990,,
Afghanistan,Under-five Mortality rate  (%),1995,,15.8
Albania,Under-five Mortality rate  (%),1995,,3.5
Algeria,Under-five Mortality rate  (%),1995,,5.5
Angola,Under-five Mortality rate  (%),1995,,22.2
Argentina,Under-five Mortality rate  (%),1995,,2.3
Armenia,Under-five Mortality rate  (%),1995,,3.8
Azerbaijan,Under-five Mortality rate  (%),1995,,8.4
Bahrain,Under-five Mortality rate  (%),1995,,1.6
Bangladesh,Under-five Mortality rate  (%),1995,,11.1
Belarus,Under-five Mortality rate  (%),1995,,1.7
Benin,Under-five Mortality rate  (%),1995,,15.9
Bhutan,Under-five Mortality rate  (%),1995,,11.2
Bolivia,Under-five Mortality rate  (%),1995,,10
Bosnia & Herzegovina,Under-five Mortality rate  (%),1995,,1.3
Botswana,Under-five Mortality rate  (%),1995,,6.5
Brazil,Under-five Mortality rate  (%),1995,,4.8
Bulgaria,Under-five Mortality rate  (%),1995,,2.3
Burkina Faso,Under-five Mortality rate  (%),1995,,19.9
Burundi,Under-five Mortality rate  (%),1995,,17.7
Cambodia,Under-five Mortality rate  (%),1995,,11.9
Cameroon,Under-five Mortality rate  (%),1995,,14.1
Central African Rep.,Under-five Mortality rate  (%),1995,,17.3
Chad,Under-five Mortality rate  (%),1995,,19.8
Chile,Under-five Mortality rate  (%),1995,,1.4
China,Under-five Mortality rate  (%),1995,,4.6
Colombia,Under-five Mortality rate  (%),1995,,2.9
Comoros,Under-five Mortality rate  (%),1995,,11
"Congo, Dem. Rep.",Under-five Mortality rate  (%),1995,,18.1
"Congo, Rep.",Under-five Mortality rate  (%),1995,,11.3
Costa Rica,Under-five Mortality rate  (%),1995,,1.5
Croatia,Under-five Mortality rate  (%),1995,,1
Cuba,Under-five Mortality rate  (%),1995,,1.1
Côte d'Ivoire,Under-five Mortality rate  (%),1995,,14.6
Djibouti,Under-five Mortality rate  (%),1995,,11.3
Dominican Republic,Under-five Mortality rate  (%),1995,,4.7
Ecuador,Under-five Mortality rate  (%),1995,,4.2
"Egypt, Arab Rep.",Under-five Mortality rate  (%),1995,,6.2
El Salvador,Under-five Mortality rate  (%),1995,,4.7
Eritrea,Under-five Mortality rate  (%),1995,,11.6
Estonia,Under-five Mortality rate  (%),1995,,1.5
Ethiopia,Under-five Mortality rate  (%),1995,,17
Fiji,Under-five Mortality rate  (%),1995,,2.6
Gabon,Under-five Mortality rate  (%),1995,,8.7
"Gambia, The",Under-five Mortality rate  (%),1995,,14.7
Georgia,Under-five Mortality rate  (%),1995,,4
Ghana,Under-five Mortality rate  (%),1995,,10.9
Guatemala,Under-five Mortality rate  (%),1995,,6
Guinea,Under-five Mortality rate  (%),1995,,20.2
Guinea-Bissau,Under-five Mortality rate  (%),1995,,19.9
Guyana,Under-five Mortality rate  (%),1995,,5.6
Haiti,Under-five Mortality rate  (%),1995,,12.1
Honduras,Under-five Mortality rate  (%),1995,,4.4
India,Under-five Mortality rate  (%),1995,,10.1
Indonesia,Under-five Mortality rate  (%),1995,,6.5
"Iran, Islamic Rep.",Under-five Mortality rate  (%),1995,,4.9
Iraq,Under-five Mortality rate  (%),1995,,4.5
Jamaica,Under-five Mortality rate  (%),1995,,3
Jordan,Under-five Mortality rate  (%),1995,,3.2
Kazakhstan,Under-five Mortality rate  (%),1995,,5.1
Kenya,Under-five Mortality rate  (%),1995,,11.2
Kuwait,Under-five Mortality rate  (%),1995,,1.4
Kyrgyz Republic,Under-five Mortality rate  (%),1995,,5.8
Lao PDR,Under-five Mortality rate  (%),1995,,11
Latvia,Under-five Mortality rate  (%),1995,,2.3
Lebanon,Under-five Mortality rate  (%),1995,,2.6
Lesotho,Under-five Mortality rate  (%),1995,,9.4
Liberia,Under-five Mortality rate  (%),1995,,21.9
Libya,Under-five Mortality rate  (%),1995,,3.5
Lithuania,Under-five Mortality rate  (%),1995,,1.6
"Macedonia, FYR",Under-five Mortality rate  (%),1995,,2.5
Madagascar,Under-five Mortality rate  (%),1995,,13.2
Malawi,Under-five Mortality rate  (%),1995,,20.4
Malaysia,Under-five Mortality rate  (%),1995,,1.3
Mali,Under-five Mortality rate  (%),1995,,23.5
Mauritania,Under-five Mortality rate  (%),1995,,12.1
Mauritius,Under-five Mortality rate  (%),1995,,2.2
Mexico,Under-five Mortality rate  (%),1995,,3.9
Moldova,Under-five Mortality rate  (%),1995,,2.9
Mongolia,Under-five Mortality rate  (%),1995,,8.4
Montenegro,Under-five Mortality rate  (%),1995,,
Morocco,Under-five Mortality rate  (%),1995,,6.6
Mozambique,Under-five Mortality rate  (%),1995,,20.5
Myanmar,Under-five Mortality rate  (%),1995,,9.5
Namibia,Under-five Mortality rate  (%),1995,,6.8
Nepal,Under-five Mortality rate  (%),1995,,10.6
Nicaragua,Under-five Mortality rate  (%),1995,,5.3
Niger,Under-five Mortality rate  (%),1995,,26.7
Nigeria,Under-five Mortality rate  (%),1995,,21.1
North Korea,Under-five Mortality rate  (%),1995,,7.6
Oman,Under-five Mortality rate  (%),1995,,3.3
Pakistan,Under-five Mortality rate  (%),1995,,11
Panama,Under-five Mortality rate  (%),1995,,2.9
Papua New Guinea,Under-five Mortality rate  (%),1995,,7.9
Paraguay,Under-five Mortality rate  (%),1995,,4.3
Peru,Under-five Mortality rate  (%),1995,,5.5
Philippines,Under-five Mortality rate  (%),1995,,4.7
Qatar,Under-five Mortality rate  (%),1995,,1.6
Romania,Under-five Mortality rate  (%),1995,,3.2
Russian Federation,Under-five Mortality rate  (%),1995,,2.5
Rwanda,Under-five Mortality rate  (%),1995,,27.5
Saudi Arabia,Under-five Mortality rate  (%),1995,,3
Senegal,Under-five Mortality rate  (%),1995,,14.2
Serbia,Under-five Mortality rate  (%),1995,,
Sierra Leone,Under-five Mortality rate  (%),1995,,26.2
Slovak Republic,Under-five Mortality rate  (%),1995,,1.4
Somalia,Under-five Mortality rate  (%),1995,,18
South Africa,Under-five Mortality rate  (%),1995,,6.2
Sri Lanka,Under-five Mortality rate  (%),1995,,2.4
Sudan (former),Under-five Mortality rate  (%),1995,,12.7
Suriname,Under-five Mortality rate  (%),1995,,4.5
Swaziland,Under-five Mortality rate  (%),1995,,9.1
Syrian Arab Republic,Under-five Mortality rate  (%),1995,,2.8
Tajikistan,Under-five Mortality rate  (%),1995,,11.1
Tanzania,Under-five Mortality rate  (%),1995,,15.3
Thailand,Under-five Mortality rate  (%),1995,,2.3
Timor-Leste,Under-five Mortality rate  (%),1995,,
Togo,Under-five Mortality rate  (%),1995,,13.7
Trinidad & Tobago,Under-five Mortality rate  (%),1995,,3.4
Tunisia,Under-five Mortality rate  (%),1995,,3.9
Turkey,Under-five Mortality rate  (%),1995,,5.3
Turkmenistan,Under-five Mortality rate  (%),1995,,8.2
Uganda,Under-five Mortality rate  (%),1995,,16.6
Ukraine,Under-five Mortality rate  (%),1995,,1.9
Uruguay,Under-five Mortality rate  (%),1995,,2
Uzbekistan,Under-five Mortality rate  (%),1995,,6.7
"Venezuela, RB",Under-five Mortality rate  (%),1995,,2.6
Vietnam,Under-five Mortality rate  (%),1995,,4.1
"Yemen, Rep.",Under-five Mortality rate  (%),1995,,11.2
Zambia,Under-five Mortality rate  (%),1995,,18.4
Zimbabwe,Under-five Mortality rate  (%),1995,,9.4
Afghanistan,Under-five Mortality rate  (%),2000,,13.6
Albania,Under-five Mortality rate  (%),2000,,2.6
Algeria,Under-five Mortality rate  (%),2000,,4.6
Angola,Under-five Mortality rate  (%),2000,,19.9
Argentina,Under-five Mortality rate  (%),2000,,2
Armenia,Under-five Mortality rate  (%),2000,,3
Azerbaijan,Under-five Mortality rate  (%),2000,,6.9
Bahrain,Under-five Mortality rate  (%),2000,,1.2
Bangladesh,Under-five Mortality rate  (%),2000,,8.4
Belarus,Under-five Mortality rate  (%),2000,,1.4
Benin,Under-five Mortality rate  (%),2000,,14
Bhutan,Under-five Mortality rate  (%),2000,,8.9
Bolivia,Under-five Mortality rate  (%),2000,,8.1
Bosnia & Herzegovina,Under-five Mortality rate  (%),2000,,1
Botswana,Under-five Mortality rate  (%),2000,,8.1
Brazil,Under-five Mortality rate  (%),2000,,3.6
Bulgaria,Under-five Mortality rate  (%),2000,,2.1
Burkina Faso,Under-five Mortality rate  (%),2000,,18.2
Burundi,Under-five Mortality rate  (%),2000,,16.5
Cambodia,Under-five Mortality rate  (%),2000,,10.2
Cameroon,Under-five Mortality rate  (%),2000,,14
Central African Rep.,Under-five Mortality rate  (%),2000,,17.2
Chad,Under-five Mortality rate  (%),2000,,18.9
Chile,Under-five Mortality rate  (%),2000,,1.1
China,Under-five Mortality rate  (%),2000,,3.5
Colombia,Under-five Mortality rate  (%),2000,,2.5
Comoros,Under-five Mortality rate  (%),2000,,10
"Congo, Dem. Rep.",Under-five Mortality rate  (%),2000,,18.1
"Congo, Rep.",Under-five Mortality rate  (%),2000,,10.9
Costa Rica,Under-five Mortality rate  (%),2000,,1.3
Croatia,Under-five Mortality rate  (%),2000,,0.8
Cuba,Under-five Mortality rate  (%),2000,,0.9
Côte d'Ivoire,Under-five Mortality rate  (%),2000,,13.9
Djibouti,Under-five Mortality rate  (%),2000,,10.6
Dominican Republic,Under-five Mortality rate  (%),2000,,3.9
Ecuador,Under-five Mortality rate  (%),2000,,3.4
"Egypt, Arab Rep.",Under-five Mortality rate  (%),2000,,4.4
El Salvador,Under-five Mortality rate  (%),2000,,3.4
Eritrea,Under-five Mortality rate  (%),2000,,9.8
Estonia,Under-five Mortality rate  (%),2000,,1.1
Ethiopia,Under-five Mortality rate  (%),2000,,13.9
Fiji,Under-five Mortality rate  (%),2000,,2.2
Gabon,Under-five Mortality rate  (%),2000,,8.2
"Gambia, The",Under-five Mortality rate  (%),2000,,13
Georgia,Under-five Mortality rate  (%),2000,,3.3
Ghana,Under-five Mortality rate  (%),2000,,9.9
Guatemala,Under-five Mortality rate  (%),2000,,4.8
Guinea,Under-five Mortality rate  (%),2000,,17.5
Guinea-Bissau,Under-five Mortality rate  (%),2000,,18.6
Guyana,Under-five Mortality rate  (%),2000,,4.9
Haiti,Under-five Mortality rate  (%),2000,,10.2
Honduras,Under-five Mortality rate  (%),2000,,3.5
India,Under-five Mortality rate  (%),2000,,8.8
Indonesia,Under-five Mortality rate  (%),2000,,5.3
"Iran, Islamic Rep.",Under-five Mortality rate  (%),2000,,4.4
Iraq,Under-five Mortality rate  (%),2000,,4.3
Jamaica,Under-five Mortality rate  (%),2000,,2.6
Jordan,Under-five Mortality rate  (%),2000,,2.8
Kazakhstan,Under-five Mortality rate  (%),2000,,4.2
Kenya,Under-five Mortality rate  (%),2000,,11.3
Kuwait,Under-five Mortality rate  (%),2000,,1.3
Kyrgyz Republic,Under-five Mortality rate  (%),2000,,4.7
Lao PDR,Under-five Mortality rate  (%),2000,,8.1
Latvia,Under-five Mortality rate  (%),2000,,1.7
Lebanon,Under-five Mortality rate  (%),2000,,1.9
Lesotho,Under-five Mortality rate  (%),2000,,11.7
Liberia,Under-five Mortality rate  (%),2000,,16.4
Libya,Under-five Mortality rate  (%),2000,,2.7
Lithuania,Under-five Mortality rate  (%),2000,,1.2
"Macedonia, FYR",Under-five Mortality rate  (%),2000,,1.6
Madagascar,Under-five Mortality rate  (%),2000,,10.4
Malawi,Under-five Mortality rate  (%),2000,,16.4
Malaysia,Under-five Mortality rate  (%),2000,,1.1
Mali,Under-five Mortality rate  (%),2000,,21.4
Mauritania,Under-five Mortality rate  (%),2000,,11.8
Mauritius,Under-five Mortality rate  (%),2000,,1.9
Mexico,Under-five Mortality rate  (%),2000,,2.9
Moldova,Under-five Mortality rate  (%),2000,,2.4
Mongolia,Under-five Mortality rate  (%),2000,,6.3
Montenegro,Under-five Mortality rate  (%),2000,,
Morocco,Under-five Mortality rate  (%),2000,,5.3
Mozambique,Under-five Mortality rate  (%),2000,,17.2
Myanmar,Under-five Mortality rate  (%),2000,,8.4
Namibia,Under-five Mortality rate  (%),2000,,7.4
Nepal,Under-five Mortality rate  (%),2000,,8.3
Nicaragua,Under-five Mortality rate  (%),2000,,4.2
Niger,Under-five Mortality rate  (%),2000,,21.6
Nigeria,Under-five Mortality rate  (%),2000,,18.8
North Korea,Under-five Mortality rate  (%),2000,,5.8
Oman,Under-five Mortality rate  (%),2000,,2.2
Pakistan,Under-five Mortality rate  (%),2000,,9.5
Panama,Under-five Mortality rate  (%),2000,,2.6
Papua New Guinea,Under-five Mortality rate  (%),2000,,7.2
Paraguay,Under-five Mortality rate  (%),2000,,3.5
Peru,Under-five Mortality rate  (%),2000,,3.9
Philippines,Under-five Mortality rate  (%),2000,,3.9
Qatar,Under-five Mortality rate  (%),2000,,1.3
Romania,Under-five Mortality rate  (%),2000,,2.7
Russian Federation,Under-five Mortality rate  (%),2000,,2.1
Rwanda,Under-five Mortality rate  (%),2000,,18.3
Saudi Arabia,Under-five Mortality rate  (%),2000,,2.1
Senegal,Under-five Mortality rate  (%),2000,,13
Serbia,Under-five Mortality rate  (%),2000,,
Sierra Leone,Under-five Mortality rate  (%),2000,,24.1
Slovak Republic,Under-five Mortality rate  (%),2000,,1.2
Somalia,Under-five Mortality rate  (%),2000,,18
South Africa,Under-five Mortality rate  (%),2000,,7.4
Sri Lanka,Under-five Mortality rate  (%),2000,,1.9
Sudan (former),Under-five Mortality rate  (%),2000,,11.6
Suriname,Under-five Mortality rate  (%),2000,,4
Swaziland,Under-five Mortality rate  (%),2000,,11.4
Syrian Arab Republic,Under-five Mortality rate  (%),2000,,2.3
Tajikistan,Under-five Mortality rate  (%),2000,,9.5
Tanzania,Under-five Mortality rate  (%),2000,,12.6
Thailand,Under-five Mortality rate  (%),2000,,1.9
Timor-Leste,Under-five Mortality rate  (%),2000,,
Togo,Under-five Mortality rate  (%),2000,,12.8
Trinidad & Tobago,Under-five Mortality rate  (%),2000,,3.2
Tunisia,Under-five Mortality rate  (%),2000,,3
Turkey,Under-five Mortality rate  (%),2000,,3.5
Turkmenistan,Under-five Mortality rate  (%),2000,,7.1
Uganda,Under-five Mortality rate  (%),2000,,14.1
Ukraine,Under-five Mortality rate  (%),2000,,1.9
Uruguay,Under-five Mortality rate  (%),2000,,1.7
Uzbekistan,Under-five Mortality rate  (%),2000,,6.1
"Venezuela, RB",Under-five Mortality rate  (%),2000,,2.2
Vietnam,Under-five Mortality rate  (%),2000,,3.4
"Yemen, Rep.",Under-five Mortality rate  (%),2000,,9.9
Zambia,Under-five Mortality rate  (%),2000,,15.4
Zimbabwe,Under-five Mortality rate  (%),2000,,10.6
Afghanistan,Under-five Mortality rate  (%),2005,,11.9
Albania,Under-five Mortality rate  (%),2005,,2
Algeria,Under-five Mortality rate  (%),2005,,3.8
Angola,Under-five Mortality rate  (%),2005,,17.9
Argentina,Under-five Mortality rate  (%),2005,,1.7
Armenia,Under-five Mortality rate  (%),2005,,2.3
Azerbaijan,Under-five Mortality rate  (%),2005,,5.7
Bahrain,Under-five Mortality rate  (%),2005,,1.1
Bangladesh,Under-five Mortality rate  (%),2005,,6.4
Belarus,Under-five Mortality rate  (%),2005,,0.9
Benin,Under-five Mortality rate  (%),2005,,12.3
Bhutan,Under-five Mortality rate  (%),2005,,7.1
Bolivia,Under-five Mortality rate  (%),2005,,6.5
Bosnia & Herzegovina,Under-five Mortality rate  (%),2005,,0.9
Botswana,Under-five Mortality rate  (%),2005,,4.6
Brazil,Under-five Mortality rate  (%),2005,,2.5
Bulgaria,Under-five Mortality rate  (%),2005,,1.6
Burkina Faso,Under-five Mortality rate  (%),2005,,16.5
Burundi,Under-five Mortality rate  (%),2005,,15.3
Cambodia,Under-five Mortality rate  (%),2005,,6.9
Cameroon,Under-five Mortality rate  (%),2005,,13.6
Central African Rep.,Under-five Mortality rate  (%),2005,,17
Chad,Under-five Mortality rate  (%),2005,,18
Chile,Under-five Mortality rate  (%),2005,,0.9
China,Under-five Mortality rate  (%),2005,,2.4
